1.4666235,0.6928571,1.4484418,0.5957778
1.2419004,0.8283571,1.4773671,0.5686667
1.1432475,0.9155714,1.3484748,0.7113333
1.1157537,0.9333333,1.4795081,0.5571111
1.1031693,0.9430476,1.1659256,0.8820000
1.0981678,0.9477381,1.1881826,0.8551111
1.0941337,0.9506190,1.3147269,0.7323333
1.0873302,0.9572857,1.1165298,0.9297778
1.0883103,0.9557143,1.1453539,0.9011111
1.0892943,0.9551429,1.2343785,0.8105556
1.0825607,0.9615476,1.1197601,0.9226667
1.0822532,0.9618095,1.1474519,0.8957778
1.0802581,0.9636429,1.3335818,0.7080000
1.0721187,0.9716429,1.0653376,0.9781111
1.0659843,0.9778571,1.0633058,0.9811111
1.0647455,0.9792619,1.0618944,0.9822222
1.0630344,0.9811429,1.0641179,0.9801111
1.0630714,0.9809762,1.0653936,0.9782222
1.0623279,0.9818571,1.0647884,0.9797778
1.0616649,0.9824524,1.0645231,0.9794444
